#
# 3-day product summary time series for oakridge2
#
# Site: oakridge2
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 35.9311
# Lon: -84.3323
# Elev: 371
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:51:45
# Update Date: 2016-06-13
# Update Time: 05:28:21
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:35:38
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2008-01-17,2008,17,2,oakridge2_2008_01_17_152000.jpg,80.79775,82.88045,87.88299,0.32946,0.32119,96.8389,16.04115,96.33743,13.45699,97.60604,9.72304,0.33108,0.00163,0.33108,0.3319,0.33238,0.33162,0.01044,0.33162,0.33684,0.33997,23.05368,NA,0,0,0,0,0.33153,0.33177,0.33226,0.33257,0.33136,0.33322,0.33643,0.33841,0.00232,0.00225,0.00256,0.00311,0.00813,0.00831,0.00731,0.00775,NA
2008-01-20,2008,20,3,oakridge2_2008_01_20_152000.jpg,114.09107,111.78255,111.05181,0.33177,0.33862,111.61154,3.11844,108.42688,3.88624,107.4177,3.82876,0.33109,0.00096,0.33176,0.33176,0.33177,0.3409,0.0019,0.3408,0.34204,0.34279,23.70428,NA,0,0,0,0,0.33114,0.33126,0.33183,0.33217,0.33373,0.33603,0.33875,0.34041,0.00167,0.00162,0.00184,0.00224,0.00633,0.00647,0.00569,0.00603,NA
2008-01-23,2008,23,3,oakridge2_2008_01_23_152000.jpg,99.50958,97.08482,96.94392,0.33074,0.339,100.02901,7.22368,101.6617,3.80183,104.64311,5.96207,0.33186,0.00114,0.33141,0.33242,0.33303,0.32644,0.01841,0.339,0.33946,0.33973,24.38734,NA,0,0,0,0,0.33077,0.33079,0.33141,0.33178,0.33584,0.33851,0.34083,0.34222,0.0013,0.00126,0.00143,0.00174,0.00505,0.00516,0.00454,0.00481,NA
2008-01-26,2008,26,3,oakridge2_2008_01_26_152000.jpg,100.89628,97.68671,98.3066,0.32903,0.33984,104.77355,3.88701,102.14419,4.02029,102.6104,3.74117,0.32998,0.00068,0.33029,0.33045,0.33055,0.3385,0.00123,0.33879,0.33932,0.33963,25.10013,NA,0,0,0,0,0.33042,0.33035,0.33102,0.33142,0.33767,0.34066,0.34267,0.34384,0.00118,0.00114,0.0013,0.00158,0.0043,0.00439,0.00386,0.0041,NA
2008-01-29,2008,29,3,oakridge2_2008_01_29_152000.jpg,93.42973,94.25907,96.56707,0.3316,0.32868,103.99608,9.11825,101.33453,6.32402,101.58399,4.49633,0.33023,0.00098,0.32969,0.33064,0.33122,0.33835,0.00774,0.33872,0.34318,0.34585,25.83972,NA,0,0,0,0,0.3301,0.32997,0.33068,0.3311,0.33921,0.34246,0.34423,0.34524,0.00121,0.00117,0.00134,0.00162,0.00402,0.00411,0.00361,0.00383,NA
2008-02-01,2008,32,3,oakridge2_2008_02_01_152000.jpg,101.56667,99.23407,99.10149,0.33089,0.33867,106.80227,6.77764,102.58469,5.02498,101.4987,4.56627,0.33003,0.00112,0.33076,0.33083,0.33086,0.34335,0.00402,0.34292,0.3457,0.34736,26.60294,NA,0,0,0,0,0.3298,0.32963,0.33037,0.3308,0.34045,0.34387,0.3455,0.34641,0.00126,0.00123,0.0014,0.00169,0.00404,0.00413,0.00363,0.00385,NA
2008-02-04,2008,35,3,oakridge2_2008_02_04_152000.jpg,80.53982,88.985,97.16778,0.33366,0.30199,93.79793,9.49349,93.92735,3.75858,97.01852,1.63473,0.32999,0.00262,0.32855,0.3311,0.33264,0.32857,0.01879,0.34167,0.34186,0.34198,27.38644,NA,0,0,0,0,0.32955,0.32936,0.33013,0.33057,0.34139,0.3449,0.3465,0.34737,0.0013,0.00126,0.00143,0.00174,0.00417,0.00426,0.00374,0.00397,NA
2008-02-07,2008,38,3,oakridge2_2008_02_07_152000.jpg,116.39057,109.85985,107.64063,0.32903,0.34859,124.57882,12.04736,116.9008,10.46065,113.3891,8.44042,0.32936,0.00072,0.32903,0.32969,0.33009,0.35078,0.00316,0.34859,0.35192,0.35392,28.18677,NA,0,0,0,0,0.32935,0.32916,0.32993,0.33036,0.34203,0.34558,0.34721,0.3481,0.00129,0.00125,0.00142,0.00173,0.00431,0.0044,0.00387,0.0041,NA
2008-02-10,2008,41,3,oakridge2_2008_02_10_152000.jpg,123.07059,116.29807,113.74866,0.32935,0.34853,119.89962,2.4058,113.05395,2.43292,110.74253,2.38994,0.32893,0.00042,0.32909,0.32922,0.3293,0.34886,0.00037,0.34868,0.34903,0.34924,29.00041,NA,0,0,0,0,0.32922,0.32904,0.32983,0.33026,0.34241,0.34592,0.34764,0.3486,0.00134,0.0013,0.00148,0.0018,0.00441,0.0045,0.00396,0.0042,NA
2008-02-13,2008,44,3,oakridge2_2008_02_13_152000.jpg,89.22906,89.19265,91.06077,0.33098,0.33111,105.0948,11.79578,100.84379,8.95362,100.29891,7.60956,0.32941,0.00118,0.3291,0.33004,0.3306,0.34252,0.00809,0.34745,0.34822,0.34869,29.82395,NA,0,0,0,0,0.32931,0.32915,0.32998,0.33044,0.3423,0.34572,0.3476,0.34868,0.00129,0.00126,0.00143,0.00174,0.00434,0.00443,0.00389,0.00413,NA
2008-02-16,2008,47,3,oakridge2_2008_02_16_152000.jpg,109.24455,103.52759,101.94284,0.32896,0.34712,93.2442,19.79156,89.0411,17.46873,88.87103,14.88031,0.32807,0.00162,0.32896,0.32921,0.32936,0.34228,0.00853,0.34712,0.34827,0.34896,30.65425,NA,0,0,0,0,0.32947,0.32931,0.3302,0.33074,0.34169,0.34494,0.34707,0.34832,0.00134,0.0013,0.00148,0.0018,0.0043,0.00439,0.00386,0.0041,NA
2008-02-19,2008,50,3,oakridge2_2008_02_19_152000.jpg,125.97535,117.22815,112.49601,0.32957,0.35416,115.29613,20.17114,109.53365,17.73811,107.04998,15.56368,0.32998,0.00056,0.3296,0.33019,0.33054,0.34649,0.00686,0.34779,0.35098,0.35289,31.48856,NA,0,0,0,0,0.32972,0.32955,0.33054,0.3313,0.34084,0.34389,0.34631,0.34777,0.00129,0.00126,0.00143,0.00174,0.0045,0.0046,0.00405,0.00429,NA
2008-02-22,2008,53,3,oakridge2_2008_02_22_152000.jpg,114.61263,124.20598,132.41459,0.33458,0.30873,109.15272,4.24739,109.14143,10.74783,111.02914,15.13887,0.33119,0.00244,0.33005,0.33232,0.33367,0.33297,0.01719,0.34343,0.34509,0.34609,32.32446,NA,0,0,0,0,0.33,0.32981,0.33091,0.33192,0.34003,0.34285,0.34558,0.34727,0.00134,0.0013,0.00148,0.0018,0.00468,0.00478,0.00421,0.00446,NA
2008-02-25,2008,56,21,oakridge2_2008_02_25_122000.jpg,85.48464,87.53991,90.88714,0.3317,0.32391,92.7676,15.98268,91.12451,15.00331,91.88189,14.82007,0.3305,0.00193,0.33042,0.33168,0.33307,0.33605,0.0066,0.33569,0.34167,0.34469,44.79318,NA,0,0,0,0,0.33026,0.32997,0.33125,0.33253,0.33897,0.34149,0.34462,0.34663,0.00129,0.00126,0.00143,0.00174,0.0045,0.00459,0.00404,0.00429,NA
2008-02-28,2008,59,30,oakridge2_2008_02_28_122000.jpg,107.18816,103.59966,103.6158,0.32951,0.34093,95.66526,18.12076,93.65837,16.5912,94.38443,14.92608,0.32988,0.00254,0.32989,0.33141,0.33279,0.33627,0.00892,0.33712,0.34095,0.34294,45.89392,NA,0,0,0,0,0.33049,0.33009,0.33156,0.33308,0.33755,0.33967,0.34333,0.34574,0.00134,0.0013,0.00148,0.0018,0.00433,0.00442,0.00389,0.00413,NA
2008-03-02,2008,62,20,oakridge2_2008_03_02_122000.jpg,110.79787,106.85464,104.91117,0.33127,0.34349,110.48661,3.43189,108.08715,2.4044,108.2498,3.36471,0.33075,0.00218,0.33008,0.33145,0.33374,0.33804,0.00522,0.33704,0.34041,0.34358,46.66305,NA,0,0,0,0,0.33056,0.33011,0.33164,0.33328,0.33629,0.338,0.34215,0.34496,0.00129,0.00126,0.00143,0.00174,0.0045,0.00459,0.00404,0.00429,NA
2008-03-05,2008,65,19,oakridge2_2008_03_05_122000.jpg,113.95245,108.9122,106.97984,0.33019,0.34547,105.23708,11.02982,101.67677,9.51973,101.19627,9.3011,0.3301,0.00186,0.32983,0.33063,0.33239,0.3413,0.00618,0.3425,0.3448,0.3486,48.22333,NA,0,0,0,0,0.33055,0.33008,0.33163,0.33335,0.33571,0.33708,0.34153,0.34464,0.00134,0.0013,0.00148,0.0018,0.00468,0.00478,0.00421,0.00446,NA
2008-03-08,2008,68,30,oakridge2_2008_03_08_122000.jpg,89.43679,89.72368,92.98978,0.32968,0.32863,92.7526,12.37495,93.15802,11.99275,95.40607,11.88206,0.33103,0.00235,0.33053,0.3325,0.33395,0.32949,0.01166,0.33214,0.33787,0.3405,49.40893,NA,0,0,0,0,0.33046,0.32996,0.33152,0.3332,0.33604,0.33716,0.34166,0.34493,0.00129,0.00126,0.00143,0.00174,0.0045,0.00459,0.00404,0.00429,NA
2008-03-11,2008,71,29,oakridge2_2008_03_11_122000.jpg,111.59211,107.47562,106.29895,0.33032,0.34297,105.08062,7.56569,102.2007,5.66982,102.59894,4.64579,0.32982,0.00183,0.3291,0.33126,0.33212,0.33884,0.00654,0.33741,0.34297,0.34591,50.60405,NA,0,0,0,0,0.33028,0.32978,0.33132,0.33292,0.33694,0.33784,0.34223,0.34562,0.00134,0.0013,0.00148,0.0018,0.00433,0.00442,0.00389,0.00413,NA
2008-03-14,2008,74,23,oakridge2_2008_03_14_122000.jpg,96.95086,106.74762,112.87591,0.3372,0.30625,93.0241,18.96611,91.81308,17.50707,93.03912,15.98205,0.33011,0.00292,0.32965,0.33097,0.33343,0.33359,0.0138,0.3379,0.34269,0.34711,51.40445,NA,0,0,0,0,0.32985,0.32942,0.33092,0.33244,0.33802,0.33878,0.34302,0.34649,0.00129,0.00126,0.00143,0.00174,0.0045,0.00459,0.00404,0.00429,NA
2008-03-17,2008,77,30,oakridge2_2008_03_17_122000.jpg,106.09644,102.23062,102.67544,0.32871,0.34114,102.82229,9.046,99.33554,7.12951,98.7351,6.38584,0.33017,0.00134,0.33008,0.33079,0.33146,0.34139,0.00799,0.34124,0.34495,0.34872,53.00979,NA,0,0,0,0,0.3294,0.32907,0.33052,0.33193,0.33893,0.33964,0.34376,0.34732,0.00134,0.0013,0.00148,0.0018,0.00468,0.00478,0.00421,0.00446,NA
2008-03-20,2008,80,27,oakridge2_2008_03_20_122000.jpg,102.61153,99.15842,100.7943,0.32773,0.33914,97.57179,18.61256,94.56631,15.99243,95.24233,14.58952,0.32918,0.00213,0.32849,0.33069,0.33281,0.33793,0.01134,0.3404,0.34424,0.34739,53.81293,NA,0,0,0,0,0.32873,0.32861,0.32991,0.33117,0.33946,0.34023,0.34425,0.34793,0.00129,0.00126,0.00143,0.00174,0.0045,0.00459,0.00404,0.00429,NA
2008-03-23,2008,83,29,oakridge2_2008_03_23_122000.jpg,94.52958,92.82805,93.57351,0.33043,0.33649,101.59143,10.91486,97.29916,9.81087,97.13298,9.31857,0.32868,0.0016,0.3287,0.33005,0.33052,0.343,0.00565,0.34213,0.34648,0.34844,55.41591,NA,0,0,0,0,0.3282,0.32829,0.32944,0.33058,0.33987,0.34076,0.34464,0.34844,0.00134,0.0013,0.00148,0.0018,0.00433,0.00442,0.00389,0.00413,NA
2008-03-26,2008,86,26,oakridge2_2008_03_26_122000.jpg,86.43898,84.4277,85.40164,0.32945,0.3373,76.19503,17.36763,72.66193,17.27373,73.18011,17.56521,0.32694,0.00222,0.32738,0.32794,0.32966,0.34371,0.00791,0.34287,0.34545,0.35079,56.61191,NA,0,0,0,0,0.3279,0.32809,0.32923,0.33032,0.34051,0.34153,0.34524,0.3491,0.00129,0.00126,0.00143,0.00174,0.0045,0.00459,0.00404,0.00429,NA
2008-03-29,2008,89,18,oakridge2_2008_03_29_122000.jpg,83.00542,78.47468,77.0133,0.32904,0.34804,65.09353,22.36338,61.6418,21.2929,61.21701,20.13346,0.32731,0.00252,0.32803,0.32902,0.32961,0.34592,0.00491,0.34736,0.34854,0.35022,57.79931,NA,0,0,0,0,0.328,0.32823,0.3294,0.33047,0.34174,0.34282,0.34635,0.35016,0.00134,0.0013,0.00148,0.0018,0.00468,0.00478,0.00421,0.00446,NA
2008-04-01,2008,92,26,oakridge2_2008_04_01_122000.jpg,124.81861,118.88112,119.25483,0.32754,0.3439,95.23452,30.0064,90.80737,28.61015,89.47103,27.99044,0.32936,0.0017,0.32957,0.33039,0.33138,0.34579,0.00933,0.34401,0.3491,0.35682,58.97515,NA,0,0,0,0,0.32864,0.32874,0.32999,0.33112,0.3438,0.34492,0.34822,0.35184,0.00129,0.00126,0.00143,0.00174,0.0045,0.00459,0.00404,0.00429,NA
2008-04-04,2008,95,12,oakridge2_2008_04_04_122000.jpg,36.17527,35.12915,35.13698,0.33003,0.33986,55.472,18.50327,55.12651,18.31109,56.15342,17.63354,0.32962,0.00403,0.32993,0.33199,0.33245,0.33211,0.01671,0.3405,0.34617,0.34923,60.13641,NA,0,0,0,0,0.32992,0.32987,0.33125,0.33244,0.34646,0.34765,0.35066,0.35398,0.00134,0.0013,0.00148,0.0018,0.00433,0.00442,0.00389,0.00413,NA
2008-04-07,2008,98,29,oakridge2_2008_04_07_122000.jpg,144.37084,137.69791,133.65267,0.33123,0.34728,110.73959,24.80595,106.11001,23.54023,103.18677,22.83036,0.33153,0.00141,0.33129,0.33224,0.33352,0.34582,0.00627,0.34632,0.34856,0.35066,61.28013,NA,0,0,0,0,0.33196,0.33186,0.33331,0.33441,0.34925,0.35051,0.35328,0.35628,0.00129,0.00126,0.00143,0.00174,0.0045,0.00459,0.00404,0.00429,NA
2008-04-10,2008,101,28,oakridge2_2008_04_10_122000.jpg,136.388,130.77358,123.71873,0.33456,0.34893,102.56662,24.22073,98.64581,23.03989,92.35349,22.54443,0.33639,0.0036,0.33496,0.3384,0.34144,0.34951,0.00511,0.3483,0.35167,0.35553,62.40339,NA,0,0,0,0,0.33498,0.3348,0.33642,0.33745,0.35174,0.35302,0.3557,0.35842,0.00134,0.0013,0.00148,0.0018,0.00468,0.00478,0.00421,0.00446,NA
2008-04-13,2008,104,30,oakridge2_2008_04_13_122000.jpg,114.03741,111.09322,99.13242,0.3426,0.35168,116.53574,10.36706,111.9437,9.17235,100.02912,8.0568,0.34082,0.00094,0.34076,0.34155,0.34212,0.35458,0.00399,0.35616,0.35704,0.35781,63.50332,NA,0,0,0,0,0.34009,0.33993,0.34203,0.34287,0.35463,0.35578,0.35852,0.36094,0.00129,0.00126,0.00143,0.00174,0.0045,0.00459,0.00404,0.00429,NA
2008-04-16,2008,107,30,oakridge2_2008_04_16_122000.jpg,118.67307,110.65047,96.37845,0.33973,0.36436,120.50194,5.38091,112.84471,4.65806,97.83401,5.11729,0.3408,0.00198,0.33991,0.34233,0.34281,0.36387,0.00289,0.36444,0.36618,0.36674,64.57724,NA,0,0,0,0,0.34605,0.34588,0.34847,0.34924,0.35818,0.35908,0.36193,0.364,0.00134,0.0013,0.00148,0.0018,0.00433,0.00442,0.00389,0.00413,NA
2008-04-19,2008,110,30,oakridge2_2008_04_19_122000.jpg,125.36234,118.93264,93.46974,0.35212,0.37115,118.18383,10.7812,113.92395,8.73709,92.5377,5.25593,0.35087,0.00366,0.35227,0.35367,0.35446,0.3636,0.00892,0.3649,0.36853,0.37122,65.62261,NA,0,0,0,0,0.35377,0.35354,0.3566,0.35754,0.36129,0.36196,0.36496,0.36671,0.00129,0.00126,0.00143,0.00174,0.0045,0.00459,0.00404,0.00429,NA
2008-04-22,2008,113,30,oakridge2_2008_04_22_122000.jpg,133.02691,128.46408,96.12406,0.35922,0.37198,125.6337,4.92126,121.68467,4.47393,91.5907,2.75968,0.35904,0.00312,0.35945,0.36239,0.36288,0.37065,0.00264,0.37103,0.3723,0.3739,66.63694,NA,0,0,0,0,0.3616,0.3613,0.36476,0.36607,0.36285,0.36344,0.36667,0.3682,0.00134,0.0013,0.00148,0.0018,0.00468,0.00478,0.00421,0.00446,NA
2008-04-25,2008,116,29,oakridge2_2008_04_25_122000.jpg,115.15138,119.58037,86.58673,0.37216,0.35837,117.23742,9.72973,120.72483,8.34986,85.59733,6.23377,0.3733,0.00529,0.37229,0.37899,0.37954,0.36212,0.00441,0.36319,0.36603,0.36752,67.61768,NA,0,0,0,0,0.36907,0.36851,0.37201,0.37461,0.36222,0.363,0.36665,0.36811,0.00129,0.00126,0.00143,0.00174,0.0045,0.00459,0.00404,0.00429,NA
2008-04-28,2008,119,30,oakridge2_2008_04_28_122000.jpg,113.56002,118.32422,79.29729,0.38024,0.36493,103.8712,16.78031,110.93557,14.5245,76.0555,9.54033,0.3819,0.00693,0.38018,0.38555,0.39142,0.35596,0.01038,0.35554,0.36583,0.3681,68.56222,NA,0,0,0,0,0.37577,0.37492,0.37843,0.38235,0.36007,0.3612,0.36551,0.36698,0.00134,0.0013,0.00148,0.0018,0.00433,0.00442,0.00389,0.00413,NA
2008-05-01,2008,122,28,oakridge2_2008_05_01_122000.jpg,111.195,114.68021,77.71733,0.37774,0.36626,108.79329,7.10773,114.00181,5.85573,78.02401,3.48289,0.37903,0.00211,0.37879,0.38039,0.38125,0.36143,0.00546,0.36137,0.36534,0.36664,69.4679,NA,0,0,0,0,0.37993,0.37878,0.38222,0.38733,0.35729,0.35879,0.36377,0.3653,0.00129,0.00126,0.00143,0.00174,0.0045,0.00459,0.00404,0.00429,NA
2008-05-04,2008,125,30,oakridge2_2008_05_04_122000.jpg,111.00375,117.55782,75.88618,0.38613,0.36461,106.79308,10.22589,114.61113,7.77103,76.34704,5.85263,0.38538,0.00712,0.38304,0.38597,0.39514,0.35812,0.00768,0.36089,0.36367,0.36446,70.33207,NA,0,0,0,0,0.38274,0.38132,0.38468,0.39076,0.35475,0.3565,0.36193,0.36351,0.00134,0.0013,0.00148,0.0018,0.00468,0.00478,0.00421,0.00446,NA
2008-05-07,2008,128,29,oakridge2_2008_05_07_122000.jpg,60.82154,74.30693,54.28493,0.3923,0.3211,97.90233,12.88369,106.8585,10.26413,75.59536,9.55842,0.3819,0.00899,0.38036,0.38193,0.39323,0.34832,0.01315,0.35266,0.35706,0.36006,70.88387,NA,0,0,0,0,0.38251,0.3811,0.38438,0.39053,0.35212,0.35401,0.35961,0.36128,0.00129,0.00126,0.00143,0.00174,0.0045,0.00459,0.00404,0.00429,NA
2008-05-10,2008,131,30,oakridge2_2008_05_10_122000.jpg,113.77952,121.05767,86.33582,0.37692,0.35426,100.55489,11.17422,109.91618,10.2416,78.71301,6.88682,0.38023,0.0039,0.37925,0.38152,0.38692,0.34727,0.00755,0.34831,0.35394,0.35516,71.92574,NA,0,0,0,0,0.38104,0.37972,0.3829,0.38881,0.3489,0.35093,0.35657,0.35837,0.00134,0.0013,0.00148,0.0018,0.00433,0.00442,0.00389,0.00413,NA
2008-05-13,2008,134,29,oakridge2_2008_05_13_122000.jpg,102.92145,109.33604,78.65271,0.37584,0.35379,94.75474,12.68741,103.35535,10.85607,75.57312,7.09082,0.37793,0.00354,0.37613,0.38051,0.38376,0.34534,0.00903,0.34723,0.35379,0.3544,72.65032,NA,0,0,0,0,0.37877,0.37761,0.38089,0.38581,0.34575,0.34786,0.35346,0.3554,0.00129,0.00126,0.00143,0.00174,0.0045,0.00459,0.00404,0.00429,NA
2008-05-16,2008,137,30,oakridge2_2008_05_16_122000.jpg,76.30654,85.74489,63.499,0.38016,0.33831,85.73165,18.10239,95.83934,16.46937,74.21358,13.45017,0.3753,0.00882,0.37558,0.38085,0.38286,0.33336,0.01546,0.33793,0.34723,0.35037,73.32369,NA,0,0,0,0,0.37596,0.37502,0.37841,0.38219,0.34331,0.34545,0.35095,0.353,0.00134,0.0013,0.00148,0.0018,0.00468,0.00478,0.00421,0.00446,NA
2008-05-19,2008,140,28,oakridge2_2008_05_19_122000.jpg,102.99301,109.25339,80.67234,0.37298,0.35161,96.20144,10.46662,104.64638,8.6488,78.94038,6.36851,0.37431,0.00456,0.37298,0.37772,0.38094,0.34325,0.00777,0.34401,0.34996,0.35167,73.94374,NA,0,0,0,0,0.37362,0.37295,0.3763,0.37921,0.34165,0.34369,0.34903,0.35117,0.00129,0.00126,0.00143,0.00174,0.00458,0.00468,0.00412,0.00437,NA
2008-05-22,2008,143,30,oakridge2_2008_05_22_122000.jpg,103.7657,109.76966,83.71815,0.36928,0.34908,100.19069,4.35574,106.75888,3.86928,81.61771,2.19259,0.36995,0.00176,0.36977,0.37081,0.37218,0.34711,0.00385,0.34776,0.34971,0.35112,74.50841,NA,0,0,0,0,0.37119,0.37079,0.37403,0.37614,0.34037,0.34218,0.34729,0.34952,0.00134,0.0013,0.00148,0.0018,0.00461,0.00471,0.00414,0.0044,NA
2008-05-25,2008,146,30,oakridge2_2008_05_25_122000.jpg,99.45829,105.14611,82.42676,0.36632,0.34651,94.22414,12.07122,100.72891,10.93961,79.34187,7.30188,0.36732,0.00184,0.36677,0.36818,0.36982,0.34273,0.00769,0.3443,0.34722,0.35022,75.01573,NA,0,0,0,0,0.3691,0.3689,0.3717,0.37373,0.3394,0.34096,0.34576,0.34809,0.00133,0.00129,0.00147,0.00179,0.00489,0.00499,0.00439,0.00466,NA
2008-05-28,2008,149,30,oakridge2_2008_05_28_122000.jpg,96.74254,105.71457,82.35633,0.37117,0.33967,89.34553,11.92953,98.05552,10.46653,78.70509,9.1503,0.36885,0.00569,0.36896,0.37285,0.3739,0.3351,0.01023,0.33636,0.34166,0.34647,75.46382,NA,0,0,0,0,0.36714,0.36709,0.3694,0.37152,0.33866,0.34004,0.3445,0.34687,0.00139,0.00135,0.00153,0.00186,0.00494,0.00505,0.00444,0.00471,NA
2008-05-31,2008,152,30,oakridge2_2008_05_31_122000.jpg,94.49227,100.12116,81.16943,0.36304,0.34263,88.61148,12.85356,96.74378,12.04875,77.98833,9.13266,0.36756,0.00489,0.36679,0.36928,0.37612,0.33585,0.00769,0.3367,0.342,0.34371,75.85107,NA,0,0,0,0,0.36547,0.3655,0.36745,0.36971,0.33807,0.33937,0.34347,0.3458,0.00139,0.00135,0.00154,0.00187,0.00473,0.00484,0.00425,0.00451,NA
2008-06-03,2008,155,30,oakridge2_2008_06_03_122000.jpg,83.82875,91.88104,76.31359,0.36457,0.33262,91.28739,9.31395,97.4956,8.54815,80.8723,8.89488,0.36183,0.00665,0.36361,0.36438,0.36494,0.33831,0.00687,0.34087,0.34429,0.34478,76.17633,NA,0,0,0,0,0.364,0.36405,0.36569,0.36809,0.33766,0.33891,0.34263,0.34489,0.00142,0.00138,0.00157,0.0019,0.00478,0.00488,0.00429,0.00455,NA
2008-06-06,2008,158,30,oakridge2_2008_06_06_122000.jpg,95.83645,101.8787,83.82134,0.36187,0.34041,93.22341,5.60016,99.29597,4.92672,81.74177,3.06885,0.36204,0.00136,0.36178,0.36267,0.36327,0.33973,0.00434,0.34083,0.34301,0.34449,76.43889,NA,0,0,0,0,0.36276,0.36275,0.36425,0.36659,0.33754,0.33873,0.34205,0.34423,0.0014,0.00137,0.00155,0.00189,0.00521,0.00533,0.00468,0.00497,NA
2008-06-09,2008,161,30,oakridge2_2008_06_09_122000.jpg,82.20688,90.39918,76.82142,0.36243,0.32958,85.52776,9.67272,92.31401,8.42744,77.25777,5.79442,0.36196,0.00298,0.36079,0.36334,0.36723,0.33465,0.00826,0.33583,0.34053,0.34401,76.6384,NA,0,0,0,0,0.36178,0.36157,0.36289,0.36502,0.33785,0.3389,0.34181,0.34393,0.00167,0.00163,0.00185,0.00225,0.0065,0.00664,0.00584,0.0062,NA
2008-06-12,2008,164,8,oakridge2_2008_06_11_152000.jpg,105.66049,109.28973,90.15497,0.3582,0.34631,93.67626,6.29374,99.46745,5.13762,82.03765,4.07473,0.36155,0.00172,0.36145,0.36207,0.36343,0.34021,0.00394,0.34071,0.34214,0.34405,76.69091,NA,0,0,0,0,0.3615,0.36096,0.36213,0.36407,0.33851,0.33933,0.34179,0.34402,0.00267,0.00259,0.00295,0.00358,0.00934,0.00954,0.00839,0.0089,NA
2008-06-15,2008,167,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36208,0.36119,0.36244,0.36444,0.33938,0.33986,0.34187,0.34443,0,0,0,0,0,0,0,0,1
2008-06-18,2008,170,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36177,0.36123,0.3621,0.36392,0.34038,0.34047,0.34206,0.34511,0,0,0,0,0,0,0,0,1
2008-06-21,2008,173,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36098,0.36125,0.36144,0.36285,0.34145,0.34112,0.34239,0.34598,0,0,0,0,0,0,0,0,1
2008-06-24,2008,176,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36047,0.36112,0.36094,0.36152,0.3429,0.34243,0.34332,0.34686,0,0,0,0,0,0,0,0,1
2008-06-27,2008,179,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35981,0.36053,0.36037,0.36032,0.34462,0.3444,0.34494,0.34765,0,0,0,0,0,0,0,0,1
2008-06-30,2008,182,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35923,0.35949,0.36057,0.36141,0.34599,0.34616,0.3466,0.34839,0,0,0,0,0,0,0,0,1
2008-07-03,2008,185,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35879,0.35862,0.36082,0.36255,0.34637,0.34685,0.34768,0.34914,0,0,0,0,0,0,0,0,1
2008-07-06,2008,188,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35899,0.35887,0.36112,0.36277,0.34543,0.34618,0.34815,0.34994,0,0,0,0,0,0,0,0,1
2008-07-09,2008,191,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35922,0.35913,0.3614,0.36298,0.34376,0.34487,0.34845,0.3507,0,0,0,0,0,0,0,0,1
