#
# 3-day product summary time series for boundarywaters
#
# Site: boundarywaters
# Veg Type: DB
# ROI ID Number: 0003
# Lat: 47.946702
# Lon: -91.495506
# Elev: 519
# UTC Offset: -6
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:25:04
# Update Date: 2016-01-25
# Update Time: 14:25:05
# Final Processing Date: 2016-06-13
# Final Processing Time: 18:08:26
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2005-12-16,2005,350,4,boundarywaters_2005_12_16_150000.jpg,98.22554,103.70501,129.32646,0.31307,0.29652,133.91673,31.64884,133.25715,23.94441,152.10423,15.34786,0.31717,0.00427,0.31645,0.32057,0.32191,0.31571,0.02307,0.31583,0.33683,0.33986,18.71866,NA,0,0,0,0,0.31809,0.31831,0.32178,0.32284,0.32517,0.32583,0.34798,0.35232,0.00386,0.0036,0.00312,0.00266,0.01371,0.01395,0.01347,0.01201,NA
2005-12-19,2005,353,7,boundarywaters_2005_12_19_090000.jpg,137.29803,120.96287,115.35136,0.32377,0.36749,131.03566,27.77994,121.88681,23.68926,127.81845,23.71263,0.31962,0.00393,0.32155,0.32305,0.32382,0.3432,0.02701,0.34653,0.36105,0.3731,18.69025,NA,0,0,0,0,0.3171,0.31711,0.31947,0.32094,0.32034,0.32035,0.33583,0.34386,0.00234,0.00219,0.00189,0.00161,0.00846,0.00856,0.00827,0.00864,NA
2005-12-22,2005,356,6,boundarywaters_2005_12_22_090000.jpg,81.19075,90.36247,116.11855,0.31412,0.28223,86.3008,6.52844,89.36568,8.01604,108.14918,13.53975,0.31494,0.00201,0.3144,0.31527,0.31721,0.30492,0.01726,0.30024,0.31696,0.32739,18.66259,NA,0,0,0,0,0.31666,0.31638,0.31823,0.31986,0.31628,0.31621,0.32667,0.33662,0.00244,0.00232,0.00197,0.00168,0.00845,0.00866,0.00836,0.00664,NA
2005-12-25,2005,359,7,boundarywaters_2005_12_25_120000.jpg,98.56201,98.18079,111.72482,0.31829,0.31952,89.63568,10.91506,92.79786,12.89924,111.8286,17.91725,0.31542,0.00246,0.3144,0.31673,0.31895,0.3054,0.00912,0.30524,0.31037,0.31609,18.73778,NA,0,0,0,0,0.3166,0.31562,0.3178,0.31938,0.31301,0.31337,0.32051,0.3305,0.00259,0.00249,0.00209,0.00178,0.00891,0.00915,0.00884,0.00636,NA
2005-12-28,2005,362,7,boundarywaters_2005_12_28_150000.jpg,116.86702,114.97489,129.19931,0.31845,0.32369,115.80708,6.45704,117.59689,6.91742,135.13751,12.04,0.31914,0.00216,0.31845,0.32115,0.32171,0.3146,0.01266,0.31957,0.32188,0.32523,18.88167,NA,0,0,0,0,0.31724,0.31678,0.3187,0.31997,0.31049,0.31175,0.31727,0.32543,0.00272,0.0026,0.0022,0.00187,0.00812,0.00827,0.00798,0.00732,NA
2005-12-31,2005,365,6,boundarywaters_2005_12_31_150000.jpg,96.18294,104.46692,132.08248,0.31397,0.28907,118.83336,11.56934,120.62658,7.70297,139.68741,5.79275,0.31805,0.00233,0.31853,0.31978,0.32051,0.31277,0.01498,0.31451,0.31838,0.3285,18.94482,NA,0,0,0,0,0.3186,0.31855,0.32065,0.3213,0.30901,0.31172,0.31743,0.32142,0.0026,0.00245,0.0021,0.00179,0.00869,0.00882,0.00851,0.0087,NA
2006-01-02,2006,2,5,boundarywaters_2006_01_02_120000.jpg,122.7984,123.18091,138.22906,0.32061,0.31961,124.36031,12.07882,129.24107,9.69788,152.22697,11.14954,0.3184,0.00261,0.31804,0.32061,0.32128,0.30616,0.01528,0.30968,0.31961,0.31991,19.27264,NA,0,0,0,0,0.31814,0.31795,0.32023,0.32097,0.30887,0.31292,0.31988,0.31938,0.00395,0.00371,0.0032,0.00272,0.01212,0.01249,0.01206,0.00961,NA
2006-01-05,2006,5,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31855,0.31743,0.32129,0.32207,0.30962,0.3126,0.32422,0.31748,0,0,0,0,0,0,0,0,1
2006-01-08,2006,8,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3192,0.31794,0.32189,0.32248,0.31096,0.30993,0.32914,0.31674,0,0,0,0,0,0,0,0,1
2006-01-11,2006,11,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31946,0.31905,0.32191,0.32251,0.31022,0.30872,0.32803,0.32183,0,0,0,0,0,0,0,0,1
2006-01-14,2006,14,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31966,0.31938,0.32161,0.32224,0.30951,0.30908,0.32459,0.3281,0,0,0,0,0,0,0,0,1
2006-01-17,2006,17,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31997,0.31972,0.32186,0.32248,0.31428,0.31309,0.32516,0.33263,0,0,0,0,0,0,0,0,1
2006-01-20,2006,20,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32028,0.32006,0.32211,0.32273,0.32195,0.31997,0.32516,0.33941,0,0,0,0,0,0,0,0,1
2006-01-23,2006,23,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3206,0.32039,0.32236,0.32297,0.3275,0.32523,0.32717,0.34425,0,0,0,0,0,0,0,0,1
2006-01-26,2006,26,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32197,0.32159,0.32266,0.32365,0.32719,0.32653,0.32604,0.34218,0,0,0,0,0,0,0,0,1
2006-01-29,2006,29,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32374,0.32344,0.32295,0.32432,0.32902,0.32928,0.32988,0.34281,0,0,0,0,0,0,0,0,1
2006-02-01,2006,32,4,boundarywaters_2006_02_01_150000.jpg,169.64943,155.9646,155.64644,0.32408,0.35251,133.27346,23.14729,128.23557,17.89777,137.01923,12.40266,0.32154,0.00196,0.3214,0.32311,0.32369,0.33273,0.01262,0.32968,0.33874,0.347,25.23577,NA,0,0,0,0,0.32122,0.32103,0.32307,0.3236,0.33472,0.3339,0.34141,0.34955,0.00415,0.00383,0.00335,0.00286,0.01323,0.01339,0.01292,0.01316,NA
2006-02-04,2006,35,9,boundarywaters_2006_02_04_120000.jpg,156.01781,144.64644,146.71746,0.32332,0.34874,134.10268,18.47708,127.328,13.02735,135.73917,7.56553,0.32038,0.00254,0.32054,0.32329,0.32332,0.33628,0.01647,0.34095,0.34632,0.35101,26.12395,NA,0,0,0,0,0.32158,0.3217,0.32344,0.32364,0.33712,0.33557,0.34764,0.3531,0.00271,0.0025,0.00219,0.00187,0.00831,0.0084,0.00811,0.0085,NA
2006-02-07,2006,38,9,boundarywaters_2006_02_07_120000.jpg,151.72167,140.96134,143.20453,0.32339,0.34808,148.05713,10.81783,135.34907,7.77373,135.68474,7.1478,0.3229,0.0012,0.3235,0.32358,0.32405,0.35305,0.01189,0.34732,0.36871,0.36983,27.05422,NA,0,0,0,0,0.32128,0.32126,0.32312,0.32373,0.33666,0.33522,0.3487,0.3531,0.00272,0.00251,0.0022,0.00187,0.00702,0.00711,0.00686,0.00694,NA
2006-02-10,2006,41,9,boundarywaters_2006_02_10_120000.jpg,183.44756,169.18918,164.67369,0.32706,0.35462,128.95391,22.34619,125.47916,18.10377,137.36827,13.81489,0.31989,0.00333,0.31893,0.32243,0.3234,0.32781,0.01546,0.32479,0.34027,0.34838,28.02351,NA,0,0,0,0,0.32077,0.32087,0.32264,0.32369,0.33512,0.33458,0.34708,0.35123,0.00258,0.00238,0.00208,0.00178,0.00671,0.00679,0.00656,0.00655,NA
2006-02-13,2006,44,9,boundarywaters_2006_02_13_120000.jpg,152.90722,142.72141,145.1767,0.32377,0.34688,130.42527,22.69597,127.22033,20.17187,139.48029,20.55361,0.32007,0.00302,0.32096,0.32185,0.32377,0.32746,0.01802,0.32784,0.34287,0.34705,29.02883,NA,0,0,0,0,0.32015,0.32043,0.32228,0.3234,0.33371,0.33402,0.34512,0.34928,0.00258,0.00238,0.00208,0.00178,0.00701,0.00709,0.00685,0.00681,NA
