#
# 3-day product summary time series for barrow
#
# Site: barrow
# Veg Type: TN
# ROI ID Number: 0001
# Lat: 71.28007453
# Lon: -156.60914915
# Elev: 5
# UTC Offset: -9
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-03-29
# Creation Time: 10:13:09
# Update Date: 2016-03-29
# Update Time: 10:13:10
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2013-06-16,2013,167,50,barrow_2013_06_16_150117.jpg,134.94808,86.50944,58.35783,0.30917,0.48228,130.4921,7.48293,88.04588,2.56773,64.03829,7.63324,0.31161,0.00509,0.3122,0.31281,0.31481,0.46191,0.02544,0.46398,0.48094,0.48756,42.13115,-9999,0,0,0,0,0.31161,0.3122,0.31281,NA,0.46191,0.46398,0.48094,0.48756,0,0,0,NA,0,0,0,0,NA
2013-06-17,2013,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31201,0.31239,0.31301,NA,0.46293,0.46451,0.47976,0.48741,0,0,0,NA,0,0,0,0,NA
2013-06-18,2013,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31231,0.31265,0.31327,NA,0.46429,0.46521,0.47818,0.48721,0,0,0,NA,0,0,0,0,NA
2013-06-19,2013,170,109,barrow_2013_06_19_120121.jpg,130.51024,87.65599,61.92497,0.31296,0.46596,131.75729,4.84547,88.57812,2.74869,63.18345,6.83312,0.3125,0.00565,0.31278,0.3134,0.31452,0.46497,0.01702,0.46556,0.47739,0.48711,42.15063,-9999,0,0,0,0,0.3125,0.31278,0.3134,NA,0.46497,0.46556,0.47739,0.48711,0,0,0,NA,0,0,0,0,NA
2013-06-20,2013,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31251,0.3129,0.31366,NA,0.46677,0.46681,0.47949,0.49095,0,0,0,NA,0,0,0,0,NA
2013-06-21,2013,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31242,0.31312,0.31415,NA,0.47012,0.46913,0.48338,0.49809,0,0,0,NA,0,0,0,0,NA
2013-06-22,2013,173,104,barrow_2013_06_22_120119.jpg,124.96457,86.45732,64.3551,0.3135,0.45314,133.07545,6.02929,88.11465,2.03092,60.82426,5.51226,0.31243,0.00372,0.31324,0.31441,0.31533,0.47192,0.02096,0.47038,0.48548,0.50193,42.15943,-9999,0,0,0,0,0.31243,0.31324,0.31441,NA,0.47192,0.47038,0.48548,0.50193,0,0,0,NA,0,0,0,0,NA
2013-06-23,2013,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3126,0.31338,0.3144,NA,0.47019,0.46932,0.48256,0.49761,0,0,0,NA,0,0,0,0,NA
2013-06-24,2013,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31288,0.31363,0.31437,NA,0.46699,0.46736,0.47712,0.48958,0,0,0,NA,0,0,0,0,NA
2013-06-25,2013,176,108,barrow_2013_06_25_120120.jpg,128.74482,85.9322,59.51886,0.3134,0.46954,131.57342,4.32833,88.67376,2.86991,62.82123,7.63652,0.31327,0.00349,0.31377,0.31436,0.31497,0.46526,0.02079,0.4663,0.4742,0.48526,42.12246,-9999,0,0,0,0,0.31327,0.31377,0.31436,NA,0.46526,0.4663,0.4742,0.48526,0,0,0,NA,0,0,0,0,NA
2013-06-26,2013,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3136,0.31411,0.31517,NA,0.46775,0.46891,0.47687,0.48693,0,0,0,NA,0,0,0,0,NA
