#
# 3-day product summary time series for springfieldma
#
# Site: springfieldma
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 42.135162
# Lon: -72.585972
# Elev: 56
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 15:00:29
# Update Date: 2016-06-13
# Update Time: 05:31:09
# Final Processing Date: 2016-06-13
# Final Processing Time: 20:13:41
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-04-04,2012,95,57,springfieldma_2012_04_04_120102.jpg,97.31592,98.40384,113.60153,0.31813,0.31461,139.00603,33.03608,136.72025,30.3937,145.52641,24.54522,0.32354,0.00506,0.32243,0.32823,0.33051,0.32798,0.01547,0.32763,0.34013,0.34772,54.23862,NA,0,0,0,0,0.32267,0.32264,0.32689,0.32715,0.32645,0.32642,0.3382,0.34616,0.00624,0.00665,0.00597,0.00597,0.01513,0.01842,0.01865,0.01835,NA
2012-04-07,2012,98,65,springfieldma_2012_04_07_120103.jpg,96.19086,98.21333,115.18256,0.31724,0.31071,142.13564,28.44991,138.81486,26.25281,146.52559,21.67086,0.32397,0.00458,0.32521,0.32746,0.32975,0.33112,0.01515,0.33673,0.34337,0.34885,55.35451,NA,0,0,0,0,0.32365,0.32367,0.32725,0.32881,0.33296,0.33408,0.34301,0.34871,0.00422,0.0045,0.00404,0.00423,0.01072,0.0138,0.01322,0.01241,NA
2012-04-10,2012,101,66,springfieldma_2012_04_10_120104.jpg,163.16045,158.36597,159.73083,0.32907,0.33903,160.22559,15.19467,151.80116,15.57456,151.34225,14.11616,0.32737,0.00265,0.32788,0.32919,0.33003,0.34584,0.0057,0.34632,0.35014,0.35192,56.44811,NA,0,0,0,0,0.32628,0.3263,0.32945,0.33199,0.33931,0.3412,0.34803,0.35216,0.00336,0.00358,0.00322,0.0033,0.00837,0.01081,0.01032,0.00989,NA
2012-04-13,2012,104,62,springfieldma_2012_04_13_120106.jpg,106.93704,105.77322,117.95687,0.31988,0.3234,146.40797,28.24404,141.07671,26.15438,144.91578,21.39473,0.32558,0.00423,0.32573,0.32952,0.33079,0.33749,0.01165,0.33805,0.34658,0.35158,57.51928,NA,0,0,0,0,0.33029,0.33031,0.33317,0.33634,0.34523,0.34758,0.35292,0.35617,0.00336,0.00358,0.00322,0.00309,0.00782,0.00947,0.00965,0.00988,NA
2012-04-16,2012,107,67,springfieldma_2012_04_16_120104.jpg,159.7305,153.35789,144.67328,0.33502,0.34894,149.82286,25.68284,143.57377,24.41926,136.99809,22.25414,0.33345,0.00307,0.33352,0.33578,0.33742,0.34784,0.00794,0.34894,0.35459,0.35744,58.56585,NA,0,0,0,0,0.33579,0.33575,0.33854,0.342,0.35085,0.35327,0.35784,0.36094,0.00354,0.00378,0.00339,0.00321,0.00812,0.00931,0.01001,0.01043,NA
2012-04-19,2012,110,68,springfieldma_2012_04_19_120104.jpg,99.07662,95.27724,87.7777,0.33771,0.35117,139.74347,27.34361,134.4892,26.74656,120.6978,25.18594,0.34055,0.00297,0.33943,0.34323,0.34491,0.35414,0.00969,0.35402,0.35925,0.36849,59.43534,NA,0,0,0,0,0.34255,0.34246,0.34532,0.3487,0.35594,0.35817,0.36249,0.36611,0.00366,0.0039,0.0035,0.00336,0.0085,0.00968,0.01048,0.01077,NA
2012-04-22,2012,113,72,springfieldma_2012_04_22_120104.jpg,144.60025,145.81003,116.39524,0.35843,0.35545,139.74495,13.52377,139.24635,15.78813,112.16666,15.76174,0.35599,0.00368,0.3563,0.35844,0.36082,0.35806,0.01033,0.35873,0.36387,0.37042,60.57617,NA,0,0,0,0,0.35152,0.35148,0.3544,0.35742,0.36114,0.36235,0.36768,0.37288,0.0036,0.00384,0.00345,0.00344,0.0087,0.01003,0.01073,0.0106,NA
2012-04-25,2012,116,74,springfieldma_2012_04_25_120103.jpg,102.14146,99.00046,70.04068,0.36507,0.37665,128.20569,16.40895,126.90925,18.45144,94.90423,19.76078,0.36305,0.0063,0.36284,0.36743,0.37181,0.36776,0.01259,0.37083,0.37637,0.38027,61.5344,NA,0,0,0,0,0.36127,0.36132,0.36432,0.367,0.36571,0.36572,0.37248,0.37923,0.00389,0.00414,0.00372,0.00363,0.00919,0.01024,0.01133,0.01144,NA
2012-04-28,2012,119,74,springfieldma_2012_04_28_120103.jpg,91.89635,88.60499,61.44336,0.36622,0.37982,118.38417,19.85233,116.96748,21.62976,85.56314,20.14656,0.36483,0.00331,0.36503,0.36701,0.36907,0.37047,0.0118,0.37323,0.37863,0.38175,62.46002,NA,0,0,0,0,0.37127,0.37145,0.37447,0.37747,0.36883,0.36847,0.37572,0.38273,0.00367,0.00391,0.00352,0.00347,0.0088,0.01019,0.01085,0.01081,NA
2012-05-01,2012,122,74,springfieldma_2012_05_01_120104.jpg,130.82548,133.06451,84.74803,0.38167,0.37525,121.1208,10.96752,123.17768,13.19933,79.89182,12.18403,0.38004,0.00587,0.38155,0.38431,0.38608,0.37446,0.01079,0.37461,0.38016,0.39172,63.34913,NA,0,0,0,0,0.38023,0.38054,0.3837,0.38703,0.37057,0.37036,0.37769,0.3845,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-05-04,2012,125,75,springfieldma_2012_05_04_113103.jpg,104.36631,109.38595,63.57766,0.39443,0.37633,106.60602,10.27467,112.96865,11.39998,69.73193,9.28933,0.3906,0.00482,0.39005,0.39397,0.39778,0.369,0.0117,0.37177,0.37603,0.38007,64.20092,NA,0,0,0,0,0.38713,0.38751,0.39128,0.39411,0.36925,0.36973,0.37666,0.38296,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-05-07,2012,128,73,springfieldma_2012_05_07_113103.jpg,69.59095,70.92398,41.86744,0.38888,0.38157,92.58679,12.29501,99.45894,14.44237,60.14664,10.71861,0.39434,0.00611,0.39416,0.3984,0.40237,0.36802,0.01142,0.36826,0.37646,0.38149,65.0111,NA,0,0,0,0,0.3917,0.39218,0.39659,0.39904,0.36678,0.36837,0.37465,0.38027,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-05-10,2012,131,71,springfieldma_2012_05_10_120104.jpg,88.20076,94.17916,58.93205,0.39028,0.36551,85.11134,9.44159,93.56712,12.60891,60.09285,10.91674,0.39183,0.0084,0.39351,0.39797,0.40182,0.35776,0.0136,0.35779,0.36544,0.37334,65.783,NA,0,0,0,0,0.39099,0.39169,0.39668,0.39968,0.36291,0.36627,0.37187,0.37706,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-05-13,2012,134,72,springfieldma_2012_05_13_120116.jpg,57.65231,58.57442,36.68129,0.38307,0.37704,73.72011,11.2664,79.25404,14.10834,51.1245,12.42291,0.38842,0.00808,0.38752,0.39407,0.39939,0.3631,0.01599,0.36812,0.37323,0.37701,66.4726,NA,0,0,0,0,0.38797,0.38886,0.3942,0.39813,0.35904,0.36395,0.36919,0.37424,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-05-16,2012,137,72,springfieldma_2012_05_16_113102.jpg,66.07742,70.20534,43.73134,0.39,0.36707,73.18213,9.43607,79.83385,13.33689,54.52701,11.88703,0.38409,0.01193,0.3881,0.3938,0.39706,0.35454,0.01561,0.35898,0.36516,0.37015,67.15047,NA,0,0,0,0,0.38297,0.38396,0.38874,0.3928,0.3579,0.36274,0.36908,0.37469,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-05-19,2012,140,83,springfieldma_2012_05_19_120104.jpg,51.44864,49.60069,35.64248,0.36287,0.37638,67.54937,13.85561,71.0249,19.04905,53.36419,17.99734,0.36944,0.00476,0.36869,0.37263,0.37598,0.35679,0.02102,0.36249,0.37171,0.37551,67.8289,NA,0,0,0,0,0.37715,0.37819,0.38223,0.38636,0.35737,0.36171,0.36948,0.37595,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-05-22,2012,143,70,springfieldma_2012_05_22_120106.jpg,65.85294,70.36727,49.36253,0.37917,0.35484,64.10296,6.79776,68.93973,9.63496,50.23071,11.19934,0.37613,0.00618,0.37718,0.37928,0.38424,0.35197,0.02442,0.35413,0.36444,0.37916,68.34694,NA,0,0,0,0,0.37247,0.37337,0.37664,0.38108,0.35776,0.36172,0.37038,0.3777,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-05-25,2012,146,79,springfieldma_2012_05_25_120105.jpg,58.24844,57.77801,40.75584,0.36852,0.37152,59.29742,5.19017,60.98571,5.62953,44.48743,6.85215,0.37022,0.00515,0.37089,0.37358,0.37576,0.36077,0.02081,0.36622,0.37368,0.38007,68.95251,NA,0,0,0,0,0.36822,0.36895,0.37158,0.37606,0.35844,0.36205,0.37145,0.37924,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-05-28,2012,149,80,springfieldma_2012_05_28_113103.jpg,47.12922,45.22279,32.50094,0.36221,0.37748,56.66411,8.33725,55.97536,9.60981,41.52145,8.28769,0.36284,0.00629,0.36351,0.36538,0.36921,0.36898,0.01272,0.37085,0.37937,0.38309,69.43494,NA,0,0,0,0,0.36514,0.36585,0.36872,0.3731,0.35888,0.36267,0.3719,0.37851,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-05-31,2012,152,76,springfieldma_2012_05_31_120103.jpg,46.15571,41.92903,33.61766,0.34452,0.37925,58.00063,8.94718,58.76252,11.72724,45.7587,11.62275,0.36105,0.00832,0.36191,0.36544,0.37062,0.35982,0.02316,0.36489,0.37572,0.38011,69.86271,NA,0,0,0,0,0.36269,0.36337,0.36671,0.37086,0.35939,0.36344,0.37245,0.3777,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-06-03,2012,155,78,springfieldma_2012_06_03_113103.jpg,49.61955,45.64756,34.75643,0.35107,0.38162,61.25127,8.1902,64.33059,10.81005,51.02843,11.12241,0.36411,0.00848,0.36441,0.36996,0.37579,0.34869,0.0186,0.35273,0.36121,0.36641,70.23472,NA,0,0,0,0,0.36079,0.36126,0.36512,0.36924,0.3591,0.36432,0.37303,0.37765,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-06-06,2012,158,81,springfieldma_2012_06_06_120103.jpg,47.80289,45.30776,34.86783,0.35403,0.37352,57.75061,5.62104,57.83093,8.03283,46.02619,10.79352,0.35798,0.00658,0.35929,0.36214,0.36533,0.35997,0.02374,0.36654,0.37336,0.37932,70.59041,NA,0,0,0,0,0.35948,0.35978,0.36411,0.36813,0.35878,0.36511,0.37356,0.37791,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-06-09,2012,161,78,springfieldma_2012_06_09_120104.jpg,60.67834,60.06233,45.0774,0.36222,0.36593,60.23943,10.53346,60.06912,13.62745,47.87068,13.69463,0.35657,0.00625,0.35586,0.36147,0.36451,0.36177,0.02332,0.36893,0.37762,0.3826,70.80225,NA,0,0,0,0,0.35904,0.35947,0.3637,0.36726,0.35945,0.36527,0.37447,0.38008,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-06-12,2012,164,79,springfieldma_2012_06_12_120105.jpg,58.06451,55.76191,38.5839,0.36587,0.38097,59.41872,5.40029,59.97266,7.64097,45.27422,8.2789,0.3639,0.00551,0.36357,0.36683,0.37108,0.36268,0.02341,0.36691,0.37712,0.38436,70.93916,NA,0,0,0,0,0.35911,0.35969,0.3637,0.36678,0.36014,0.36525,0.37527,0.38233,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-06-15,2012,167,77,springfieldma_2012_06_15_120102.jpg,49.03575,43.74457,35.01273,0.34231,0.38371,64.42772,13.09453,66.25914,17.99877,54.91157,18.84655,0.356,0.00636,0.35765,0.36174,0.36306,0.35296,0.03183,0.36054,0.37556,0.38175,71.12931,NA,0,0,0,0,0.35974,0.36041,0.36421,0.36676,0.36074,0.36497,0.37579,0.38284,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-06-18,2012,170,77,springfieldma_2012_06_18_120105.jpg,56.97556,50.66255,34.83878,0.35558,0.39989,63.41535,8.62916,62.38324,10.61238,47.30083,10.31944,0.36008,0.00665,0.36165,0.36517,0.36704,0.36834,0.01681,0.37122,0.37789,0.38591,71.20221,NA,0,0,0,0,0.36056,0.36127,0.3649,0.36702,0.36109,0.36465,0.3761,0.38272,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-06-21,2012,173,79,springfieldma_2012_06_21_120105.jpg,54.6934,51.59644,37.63371,0.3585,0.38002,70.65032,12.72376,71.28077,15.24982,53.80618,14.23266,0.36409,0.00494,0.36449,0.36721,0.36905,0.36352,0.01434,0.36746,0.3751,0.37799,71.21408,NA,0,0,0,0,0.36106,0.36159,0.36524,0.36774,0.35991,0.36411,0.37526,0.38164,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-06-24,2012,176,76,springfieldma_2012_06_24_120103.jpg,55.31476,51.37934,39.21371,0.35214,0.37911,75.56589,12.41021,77.91871,16.29295,61.74166,17.35362,0.36186,0.00556,0.36183,0.36562,0.36918,0.35474,0.02403,0.35682,0.37125,0.38107,71.1984,NA,0,0,0,0,0.36155,0.36186,0.36554,0.36856,0.35855,0.36361,0.37424,0.38038,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-06-27,2012,179,78,springfieldma_2012_06_27_120105.jpg,54.68188,50.63552,40.72618,0.34672,0.37442,72.31495,11.79145,74.05594,15.88746,59.56579,17.00951,0.3593,0.0064,0.3584,0.36377,0.36816,0.35482,0.02374,0.36066,0.37317,0.37861,71.12359,NA,0,0,0,0,0.36193,0.362,0.36564,0.36889,0.35725,0.36347,0.37382,0.37947,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-06-30,2012,182,77,springfieldma_2012_06_30_120105.jpg,54.9792,50.91812,37.5261,0.35502,0.38333,72.60364,12.63545,74.6643,16.06717,58.11099,17.48152,0.36368,0.0062,0.36412,0.36683,0.37101,0.35745,0.02535,0.36475,0.37471,0.3793,70.98463,NA,0,0,0,0,0.36225,0.3621,0.36571,0.36922,0.35624,0.36344,0.37356,0.37878,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-07-03,2012,185,59,springfieldma_2012_07_03_120106.jpg,56.27858,52.85629,40.1161,0.35414,0.37707,72.88702,12.46207,75.53293,18.37429,60.11879,20.57684,0.36208,0.00466,0.36247,0.36553,0.36721,0.35517,0.02666,0.3625,0.37557,0.38152,70.78515,NA,0,0,0,0,0.36255,0.36238,0.36595,0.36963,0.35675,0.36421,0.37391,0.37885,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-07-06,2012,188,58,springfieldma_2012_07_06_120106.jpg,55.32324,52.11995,39.65916,0.35431,0.37609,73.29005,10.68463,75.07567,14.85927,57.42714,16.73047,0.36484,0.00565,0.36451,0.36813,0.3728,0.35951,0.02178,0.36649,0.37313,0.37554,70.42238,NA,0,0,0,0,0.363,0.36286,0.36637,0.37003,0.35766,0.36502,0.37439,0.37915,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-07-09,2012,191,82,springfieldma_2012_07_09_120104.jpg,55.52548,50.54628,35.88194,0.35608,0.39115,72.59369,14.1058,75.40569,20.07489,60.89531,21.71933,0.36057,0.00447,0.36011,0.36349,0.36627,0.35352,0.02798,0.36314,0.37259,0.37799,70.20144,NA,0,0,0,0,0.36391,0.3637,0.36732,0.37065,0.35921,0.3656,0.37486,0.37941,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-07-12,2012,194,77,springfieldma_2012_07_12_120107.jpg,55.08576,52.09371,38.48696,0.35762,0.37816,71.7938,12.99736,72.1603,16.43781,54.0858,16.9024,0.36447,0.00525,0.36395,0.36882,0.37166,0.36626,0.0208,0.37274,0.37831,0.38437,69.67953,NA,0,0,0,0,0.36461,0.36436,0.3681,0.3712,0.36071,0.36609,0.37522,0.37978,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-07-15,2012,197,76,springfieldma_2012_07_15_120104.jpg,67.1632,67.35477,46.766,0.37154,0.37049,72.02215,12.13789,73.58012,14.41373,54.55997,13.85818,0.36774,0.0058,0.36794,0.37067,0.37445,0.36201,0.01608,0.36488,0.37334,0.37887,69.22224,NA,0,0,0,0,0.3646,0.36442,0.36816,0.37151,0.36104,0.36552,0.37501,0.38038,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-07-18,2012,200,79,springfieldma_2012_07_18_113103.jpg,59.05059,54.57088,35.03198,0.3671,0.39724,70.90092,10.76238,71.97123,12.29837,53.87559,12.76012,0.36611,0.00618,0.36591,0.37041,0.37465,0.36238,0.01989,0.36746,0.37729,0.38051,68.88561,NA,0,0,0,0,0.36449,0.36441,0.36811,0.37175,0.3611,0.36489,0.37476,0.38102,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-07-21,2012,203,77,springfieldma_2012_07_21_120105.jpg,52.42377,48.41695,35.91731,0.35403,0.38333,71.65804,12.24177,73.13165,15.74333,57.50398,16.01234,0.36119,0.0056,0.36128,0.36407,0.36687,0.35776,0.0229,0.36217,0.37324,0.38045,68.33643,NA,0,0,0,0,0.36421,0.36421,0.36782,0.37169,0.36018,0.36441,0.37431,0.38096,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-07-24,2012,206,79,springfieldma_2012_07_24_120104.jpg,59.64314,55.16414,37.94341,0.36114,0.39046,71.70416,12.89088,72.19118,16.0366,55.70173,15.77537,0.36138,0.0076,0.36153,0.36582,0.37118,0.36238,0.01925,0.36582,0.37695,0.38222,67.73436,NA,0,0,0,0,0.36385,0.36391,0.36748,0.37154,0.35932,0.36402,0.37406,0.38105,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-07-27,2012,209,71,springfieldma_2012_07_27_120102.jpg,77.65451,80.74746,62.90147,0.36487,0.3509,73.43355,9.32258,76.35826,11.83574,58.10767,12.55623,0.36743,0.00723,0.36704,0.37032,0.37332,0.35539,0.02053,0.3547,0.369,0.38329,67.08246,NA,0,0,0,0,0.36378,0.36383,0.36753,0.37125,0.3598,0.36408,0.37477,0.38242,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-07-30,2012,212,76,springfieldma_2012_07_30_120105.jpg,56.34067,53.08841,39.98965,0.3553,0.37707,75.95872,13.20609,77.98333,17.33422,60.743,18.9164,0.36334,0.00633,0.36397,0.36725,0.37055,0.358,0.02433,0.3654,0.37386,0.37868,66.38236,NA,0,0,0,0,0.36391,0.36392,0.36779,0.37103,0.36047,0.36431,0.37564,0.3839,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-08-02,2012,215,79,springfieldma_2012_08_02_120105.jpg,56.62177,52.31236,37.00433,0.35845,0.38798,72.34652,11.83174,73.29673,14.87314,55.78705,15.79731,0.36398,0.00575,0.36352,0.36863,0.37151,0.36273,0.0242,0.36678,0.37955,0.38811,65.63601,NA,0,0,0,0,0.36445,0.36435,0.36845,0.37162,0.36149,0.36496,0.37657,0.38484,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-08-05,2012,218,69,springfieldma_2012_08_05_120107.jpg,58.54815,53.13893,35.01296,0.36223,0.3991,74.46892,13.05174,75.49706,17.06282,57.48902,18.35248,0.36419,0.00595,0.36423,0.36857,0.37112,0.36324,0.02213,0.36707,0.38003,0.38715,64.57199,NA,0,0,0,0,0.36494,0.36476,0.36906,0.37218,0.36259,0.36588,0.37764,0.38562,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-08-08,2012,221,40,springfieldma_2012_08_08_120106.jpg,61.59064,56.62881,39.39447,0.35929,0.39077,70.61672,9.89486,69.47978,11.75849,50.38998,11.35355,0.36481,0.00568,0.36467,0.36781,0.37069,0.37262,0.01482,0.37622,0.38215,0.38774,63.72592,NA,0,0,0,0,0.36506,0.36493,0.36932,0.37211,0.36309,0.36737,0.3787,0.38589,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-08-11,2012,224,76,springfieldma_2012_08_11_120104.jpg,68.00032,67.34056,48.15859,0.36698,0.37058,75.76533,9.09399,78.59948,11.19183,59.81731,13.23706,0.36725,0.00658,0.36643,0.37186,0.37556,0.35596,0.02514,0.36158,0.37332,0.38298,63.1395,NA,0,0,0,0,0.36503,0.36498,0.36933,0.37185,0.36367,0.36901,0.37978,0.38607,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-08-14,2012,227,76,springfieldma_2012_08_14_120103.jpg,76.63204,75.55803,56.15208,0.36266,0.36782,75.85391,13.05508,76.73188,16.58867,58.54321,17.84156,0.36375,0.00836,0.36441,0.36863,0.37106,0.36292,0.02198,0.36856,0.37945,0.38447,62.22991,NA,0,0,0,0,0.36472,0.36482,0.36878,0.37122,0.36437,0.3707,0.38068,0.38644,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-08-17,2012,230,66,springfieldma_2012_08_17_120106.jpg,59.53079,56.61686,37.33524,0.36888,0.38787,75.62356,12.29938,76.3807,15.26145,57.45685,16.44046,0.36485,0.00558,0.36503,0.36882,0.37186,0.36461,0.02557,0.36949,0.3844,0.38978,61.13618,NA,0,0,0,0,0.36422,0.36446,0.36801,0.37052,0.36502,0.37224,0.38148,0.38689,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-08-20,2012,233,72,springfieldma_2012_08_20_113103.jpg,68.08199,64.70517,43.24102,0.36758,0.38677,77.72975,12.52611,78.41552,17.26862,60.59593,18.86314,0.36153,0.00411,0.36225,0.36498,0.36639,0.36324,0.02743,0.37248,0.38093,0.38547,60.30476,NA,0,0,0,0,0.36328,0.36349,0.36683,0.36961,0.36628,0.37307,0.3828,0.38812,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-08-23,2012,236,70,springfieldma_2012_08_23_120104.jpg,60.93755,56.87141,39.56756,0.36137,0.38721,75.80022,14.07289,74.49084,16.63851,54.42473,15.42025,0.36372,0.00413,0.36357,0.36541,0.36849,0.37324,0.01931,0.37944,0.38637,0.38958,59.29494,NA,0,0,0,0,0.3624,0.36254,0.36569,0.3688,0.36746,0.3737,0.38395,0.38917,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-08-26,2012,239,71,springfieldma_2012_08_26_120106.jpg,58.94871,54.41292,39.54805,0.35585,0.38551,75.13,14.10791,74.46422,17.57728,55.34554,17.90699,0.36334,0.00508,0.3631,0.36743,0.37025,0.37067,0.02368,0.37688,0.3852,0.39433,58.25703,NA,0,0,0,0,0.36241,0.36241,0.36553,0.36908,0.36777,0.37415,0.38386,0.38885,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-08-29,2012,242,68,springfieldma_2012_08_29_120105.jpg,60.49142,55.08663,42.12773,0.3493,0.38357,79.549,19.17403,79.82206,24.31262,62.77132,25.11545,0.35898,0.00582,0.35884,0.3624,0.36695,0.36415,0.02704,0.37525,0.38159,0.38368,57.19295,NA,0,0,0,0,0.36255,0.36238,0.36554,0.36941,0.36787,0.37452,0.38351,0.38823,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-09-01,2012,245,70,springfieldma_2012_09_01_120105.jpg,64.52643,58.97715,40.25601,0.36014,0.39403,78.33673,15.87527,77.61875,18.50805,57.25876,17.38857,0.36388,0.0062,0.36343,0.36694,0.37088,0.37072,0.02328,0.37737,0.38656,0.38896,56.10628,NA,0,0,0,0,0.36269,0.36231,0.36546,0.36961,0.36735,0.37442,0.38292,0.3872,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-09-04,2012,248,68,springfieldma_2012_09_04_120103.jpg,70.92475,68.18464,46.21778,0.36791,0.3827,75.9511,9.65087,76.62871,11.69183,58.82868,13.03867,0.36247,0.00542,0.36285,0.365,0.36921,0.36135,0.02298,0.36555,0.37766,0.38407,54.99587,NA,0,0,0,0,0.36258,0.36203,0.3652,0.36956,0.36679,0.37425,0.3824,0.38636,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-09-07,2012,251,68,springfieldma_2012_09_07_120106.jpg,62.48677,58.86112,40.27806,0.36418,0.38661,73.79664,8.09383,73.48293,9.12399,53.51237,9.26275,0.36596,0.00502,0.36459,0.36762,0.37393,0.36863,0.01941,0.37253,0.38295,0.38837,53.92706,NA,0,0,0,0,0.36172,0.36112,0.36447,0.36854,0.36681,0.37432,0.38254,0.38683,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-09-10,2012,254,69,springfieldma_2012_09_10_120104.jpg,64.59447,59.64975,39.79814,0.36362,0.39377,80.84067,20.87741,80.64293,25.40994,64.14305,25.4716,0.35707,0.00476,0.35616,0.36027,0.36359,0.36389,0.02661,0.37248,0.38142,0.38612,52.72521,NA,0,0,0,0,0.36048,0.35991,0.36346,0.36716,0.36717,0.3744,0.38297,0.38772,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
2012-09-13,2012,257,69,springfieldma_2012_09_13_120107.jpg,62.99438,57.55729,41.78859,0.35455,0.38804,78.79179,17.08446,76.55037,20.00933,57.75543,18.56794,0.35876,0.00442,0.35841,0.36173,0.36442,0.37338,0.02129,0.38053,0.3862,0.38849,51.56708,NA,0,0,0,0,0.35819,0.3579,0.36172,0.36499,0.3687,0.37502,0.38439,0.38866,0.00367,0.00391,0.00352,0.00347,0.0088,0.01027,0.01085,0.01081,NA
2012-09-16,2012,260,65,springfieldma_2012_09_16_120103.jpg,63.86125,57.7431,44.66922,0.34728,0.38407,81.75679,21.51407,79.40384,25.73404,61.84434,24.91311,0.35536,0.00567,0.35537,0.36091,0.36315,0.37235,0.02668,0.38095,0.38818,0.39549,50.43429,NA,0,0,0,0,0.35574,0.35576,0.35982,0.36271,0.37034,0.37571,0.38593,0.38998,0.00389,0.00414,0.00372,0.00363,0.00919,0.01056,0.01133,0.01144,NA
