#
# 3-day product summary time series for snakerivermn
#
# Site: snakerivermn
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 46.120556
# Lon: -93.24467
# Elev: 1181
# UTC Offset: -6
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:59:51
# Update Date: 2016-01-25
# Update Time: 14:59:51
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2010-03-27,2010,86,1,snakerivermn_2010_03_28_120000.jpg,109.86059,86.20861,50.46004,0.34969,0.44563,109.86059,0,86.20861,0,50.46004,0,0.34969,0,0.34969,0.34969,0.34969,0.44563,0,0.44563,0.44563,0.44563,46.86682,-9999,0,0,0,0,0.34969,NA,NA,0.34969,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-03-28,2010,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35113,NA,NA,0.3522,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-03-29,2010,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35304,NA,NA,0.35555,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-03-30,2010,89,3,snakerivermn_2010_03_30_120000.jpg,89.46911,79.80064,56.43116,0.35357,0.39641,88.49692,17.90543,75.65053,12.50969,49.88614,7.69942,0.354,0.00321,0.35357,0.35585,0.35722,0.41169,0.01692,0.40339,0.41933,0.42889,48.04552,-9999,0,0,0,0,0.354,NA,NA,0.35722,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-03-31,2010,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35372,NA,NA,0.35699,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-01,2010,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35319,NA,NA,0.35655,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-02,2010,92,3,snakerivermn_2010_04_02_120000.jpg,61.23065,58.02435,45.64887,0.35187,0.37131,85.23198,22.12567,72.22133,12.86848,47.35946,2.87374,0.35291,0.00334,0.35187,0.35465,0.35632,0.41044,0.03177,0.41089,0.43,0.44147,49.21209,-9999,0,0,0,0,0.35291,NA,NA,0.35632,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-03,2010,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35241,NA,NA,0.35514,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-04,2010,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35148,NA,NA,0.35295,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-05,2010,95,3,snakerivermn_2010_04_05_120000.jpg,106.76222,86.21776,51.99676,0.35194,0.43581,90.97018,24.38744,74.9687,16.23797,47.67304,5.70998,0.35098,0.00083,0.35108,0.35151,0.35177,0.41997,0.0273,0.43581,0.43917,0.44119,50.36382,-9999,0,0,0,0,0.35098,NA,NA,0.35177,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-06,2010,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35054,NA,NA,0.35143,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-07,2010,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34974,NA,NA,0.35078,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-08,2010,98,3,snakerivermn_2010_04_08_120000.jpg,110.29495,85.0325,49.5172,0.34729,0.45047,108.74486,2.47523,85.50872,1.33458,50.54648,0.78539,0.3493,0.00143,0.3501,0.35031,0.35044,0.44418,0.00496,0.44375,0.44711,0.44912,51.49793,-9999,0,0,0,0,0.3493,NA,NA,0.35044,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-09,2010,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34988,NA,NA,0.35102,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-10,2010,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35097,NA,NA,0.35209,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-11,2010,101,5,snakerivermn_2010_04_11_120000.jpg,103.31772,83.13953,50.46051,0.35092,0.43609,100.20829,4.40029,82.32299,1.75159,51.65308,1.78167,0.35155,0.00089,0.35092,0.35236,0.35267,0.42774,0.01073,0.43584,0.43609,0.43693,52.62814,-9999,0,0,0,0,0.35155,NA,NA,0.35267,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-12,2010,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35149,NA,NA,0.35277,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-13,2010,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35137,NA,NA,0.35296,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-14,2010,104,5,snakerivermn_2010_04_14_120000.jpg,55.68115,53.71399,42.48992,0.35365,0.3666,77.96466,26.68561,66.33675,16.20049,44.73822,4.24165,0.35131,0.00169,0.35197,0.35218,0.35306,0.40322,0.03727,0.37648,0.44718,0.44896,53.7182,-9999,0,0,0,0,0.35131,NA,NA,0.35306,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-15,2010,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35141,NA,NA,0.35296,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-16,2010,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35158,NA,NA,0.35279,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-17,2010,107,4,snakerivermn_2010_04_17_120000.jpg,101.51106,82.87778,51.61979,0.35116,0.43012,98.49049,4.36248,80.42932,2.58857,49.80282,1.39618,0.35168,0.00105,0.35189,0.35264,0.35269,0.43049,0.00537,0.42903,0.43238,0.43645,54.78252,-9999,0,0,0,0,0.35168,NA,NA,0.35269,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-18,2010,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35196,NA,NA,0.35379,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-19,2010,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35248,NA,NA,0.35582,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-20,2010,110,5,snakerivermn_2010_04_20_120000.jpg,101.02195,81.66226,49.43377,0.35181,0.43522,89.42203,18.88707,74.14573,10.99382,46.93844,3.22269,0.35276,0.00349,0.35181,0.35652,0.35692,0.42086,0.02507,0.43522,0.44378,0.44419,55.81849,-9999,0,0,0,0,0.35276,NA,NA,0.35692,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-21,2010,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3529,NA,NA,0.3567,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-22,2010,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35316,NA,NA,0.35628,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-23,2010,113,6,snakerivermn_2010_04_23_120000.jpg,82.81289,72.61029,49.32514,0.35463,0.40446,83.42895,17.37619,72.00751,9.19899,48.58513,1.20274,0.3533,0.00275,0.35428,0.35567,0.35606,0.40477,0.03078,0.40531,0.43269,0.44215,56.82356,-9999,0,0,0,0,0.3533,NA,NA,0.35606,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-24,2010,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35369,NA,NA,0.35602,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-25,2010,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35441,NA,NA,0.35595,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-26,2010,116,6,snakerivermn_2010_04_26_120000.jpg,79.52031,70.75951,48.77674,0.35547,0.39949,76.12578,6.96011,68.41353,4.96176,48.24138,1.49024,0.3548,0.00124,0.3554,0.35579,0.35591,0.39426,0.0091,0.39804,0.40189,0.40297,57.79537,-9999,0,0,0,0,0.3548,NA,NA,0.35591,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-27,2010,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35424,NA,NA,0.35596,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-28,2010,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35319,NA,NA,0.35606,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-29,2010,119,5,snakerivermn_2010_04_29_120000.jpg,65.07087,60.44019,47.94602,0.34844,0.37514,70.09021,9.24453,64.1076,6.63396,47.5594,2.85327,0.35263,0.00359,0.35468,0.35477,0.35611,0.38458,0.01172,0.38113,0.384,0.39782,58.73171,-9999,0,0,0,0,0.35263,NA,NA,0.35611,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-04-30,2010,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35356,NA,NA,0.35664,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-01,2010,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35528,NA,NA,0.35762,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-02,2010,122,4,snakerivermn_2010_05_02_120000.jpg,62.79668,58.04713,41.67298,0.35718,0.3864,66.0844,5.41106,61.10098,4.91149,44.30054,2.82137,0.35621,0.00175,0.35598,0.35753,0.35815,0.38522,0.00247,0.38465,0.38698,0.38801,59.61669,-9999,0,0,0,0,0.35621,NA,NA,0.35815,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-03,2010,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35819,NA,NA,0.36045,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-04,2010,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36188,NA,NA,0.36471,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-05,2010,125,4,snakerivermn_2010_05_05_120000.jpg,66.82569,62.09904,40.02914,0.36755,0.39553,70.46816,7.22605,65.00915,6.35993,43.31356,5.08565,0.36386,0.00291,0.36377,0.3662,0.36701,0.39421,0.00141,0.39471,0.39519,0.39539,60.47524,-9999,0,0,0,0,0.36386,NA,NA,0.36701,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-06,2010,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36313,NA,NA,0.36611,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-07,2010,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36178,NA,NA,0.36445,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-08,2010,128,4,snakerivermn_2010_05_08_120000.jpg,74.23744,67.62056,45.38869,0.36113,0.39647,69.96595,15.57489,62.54888,9.66247,40.94013,3.53409,0.36105,0.00286,0.36196,0.36306,0.36355,0.39974,0.02394,0.38898,0.4073,0.4268,61.29114,-9999,0,0,0,0,0.36105,NA,NA,0.36355,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-09,2010,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36243,NA,NA,0.36497,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-10,2010,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.365,NA,NA,0.3676,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-11,2010,131,3,snakerivermn_2010_05_11_120000.jpg,53.26366,51.95658,35.28729,0.36978,0.37908,57.37766,4.22805,54.53325,3.25128,36.99446,2.393,0.36638,0.00262,0.36597,0.36788,0.36902,0.38515,0.0043,0.38794,0.38818,0.38833,62.06206,-9999,0,0,0,0,0.36638,NA,NA,0.36902,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-12,2010,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36473,NA,NA,0.36862,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-13,2010,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36165,NA,NA,0.36789,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-14,2010,134,3,snakerivermn_2010_05_14_120000.jpg,115.14141,89.84475,49.36613,0.35323,0.45268,93.96539,25.94828,78.42382,14.27533,46.33812,3.30551,0.36,0.00736,0.35655,0.36339,0.36749,0.42159,0.0403,0.4474,0.45004,0.45163,62.78574,-9999,0,0,0,0,0.36,NA,NA,0.36749,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-15,2010,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36096,NA,NA,0.36735,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-16,2010,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36276,NA,NA,0.3671,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-17,2010,137,3,snakerivermn_2010_05_17_120000.jpg,95.12763,81.92653,46.0819,0.36716,0.42632,98.76814,8.39189,83.65658,2.89542,47.56395,5.65237,0.36372,0.00418,0.36616,0.36666,0.36696,0.42886,0.02496,0.42632,0.44348,0.45377,63.45998,-9999,0,0,0,0,0.36372,NA,NA,0.36696,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-18,2010,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36901,NA,NA,0.37453,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-19,2010,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37885,NA,NA,0.38857,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-20,2010,140,3,snakerivermn_2010_05_20_120000.jpg,103.12005,87.01928,36.87322,0.38332,0.45425,91.81949,21.65856,79.84689,10.98712,37.20742,1.76012,0.38414,0.01209,0.38332,0.39133,0.39614,0.43358,0.03679,0.45425,0.45943,0.46254,64.08269,-9999,0,0,0,0,0.38414,NA,NA,0.39614,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-21,2010,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39145,NA,NA,0.4021,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-22,2010,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40503,NA,NA,0.41318,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-23,2010,143,3,snakerivermn_2010_05_23_120000.jpg,58.25198,64.36589,35.12415,0.40805,0.36929,59.39305,2.80137,65.91839,4.68313,34.41671,1.48333,0.41234,0.00678,0.40805,0.41498,0.41914,0.372,0.00387,0.36929,0.37338,0.37584,64.65194,-9999,0,0,0,0,0.41234,NA,NA,0.41914,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-24,2010,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41279,NA,NA,0.41904,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-25,2010,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41361,NA,NA,0.41884,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-26,2010,146,3,snakerivermn_2010_05_26_120000.jpg,81.44534,86.48844,43.69073,0.40869,0.38486,88.64718,5.36944,88.51739,1.47051,36.60376,5.06872,0.41406,0.00466,0.41344,0.41675,0.41874,0.41452,0.02201,0.42116,0.42935,0.43427,65.16602,-9999,0,0,0,0,0.41406,NA,NA,0.41874,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-27,2010,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41602,NA,NA,0.42375,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-28,2010,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41966,NA,NA,0.43305,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
2010-05-29,2010,149,3,snakerivermn_2010_05_29_120000.jpg,79.84827,84.00059,42.68511,0.40672,0.38661,67.05678,12.83637,74.53042,9.83187,36.31354,6.83104,0.42162,0.01614,0.41409,0.42907,0.43806,0.37514,0.01089,0.37829,0.38245,0.38495,65.62332,-9999,0,0,0,0,0.42162,NA,NA,0.43806,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
